y;message
0;imagi being able say you know what no sanct no forev heari on ieaa regul no more hidin under the prete of frien nucle energ you have days to let in the inspe quit killi the civil respe the borde and right of you neigh count or we whoev we are will shut off you nucle plant you monit syste and whate else we fancy like you water treat plant and early warni sands syste and the traff light of all major citie and yes pinky finge to lip edge so you teena revol and toppl you regim disco faceb buwha 
0;but jack from ralei wasn done he came back with this bit of furio gramm geniu holy hell jack calm down god mn hilar who write you mater grazi mm never even ackno we were here well accep when uber ticke him off grazi not only inter with us he calls you dumb when you re being dumb right beean 
0;the star box allow you to link you comme to faceb and twitt you can go to you profi and chang setti if you click back on yello star it will retur to grey 
0;chene rush nugen the list is endle 
0;obama blow mo smoke up yo arses anyon wonde why the dem as such sheep it must be some dna thing not to be able to do simpl math just don get it 
0;why isn the us uk franc germa italy etc takin these peopl in why is count that the size of new jerse over of which is deser that was still poor smile rd world count just yrs ago that alrea has unemp probl expec to absor of soon to be of of unedu smile rd world refug why don you petit you govt to take in few of these peopl 
1;who told you that stupi ask you who kick his daugh out of the house at the age when it comes prote weama you guys the last ppl on earth who can open their mount 
0;glad you reali this kiddi 
1;you re an idiot baldo 
0;call the vote slap this basta down in front of his peopl let this pimp murde punk liar peddl his toile paper in hell 
0;feel like you just trick me into click that link again of shit don want to see it not appea to every reall don want to have to look at this work and ponde the phili head screw inden of her nippl and why the artis made that decis there isn anyth perso can take away from that piece in terms of line art color and compo that can get from non fetis work this is taste issue not an art issue 
1;you show you stupi and ignor each and every day 
1;wait until you are minor in you own redne count it won be long now habla usted espa ol 
0;well you are speci damni clown 
0;holy shit son is dropp scien 
1;its faggo you ignor fuck plus what you tryin to impre us with you girl scout club you dumb shit fuck you your faggo ass cousi and fuck you stupi fuck what is that littl gang full of wanna cuz unles its carte you aint impre shit we butt fuck littl bitch like you and you cousi down here and the chop you into piece cuz you littl club ain shit dumb mudaf 
0;how many more ameri casua were incur after nixon took over what about civil casua 
0;jobs jobs jobs repub can appro infra proje and put peopl to work inclu eco frien water updat more impor to maint failu apart then work toget for succe 
1;get thatd outta you mouth so you can talk 
0;consi obama prefe metho of deali with priso this may be the best way mean we re not going to get any intel out of them anywa and any that we do happe to get will be relea to the msm immed letti the other bad guys know what we know so what the point of captu these holes might as well off them when we get someb sensi back in the white house then we can go back to captu them you know at the point when the soldi grabb the goon doesn have to worry about getti sued by the creti who being repre by one of barry perso injur squad becau he punch the murde thug in the chops 
